date,product,quantity,unit_price
2024-01-01,Monitor,2,287.49
2024-01-01,Headphones,1,89.99
2024-01-03,Laptop,1,1024.99
2024-01-05,Keyboard,3,42.50
2024-01-01,Monitor,2,287.49
2024-01-01,Headphones,1,89.99
2024-01-03,Laptop,1,1024.99
2024-01-05,Keyboard,3,42.50
2024-01-06,Mouse,2,25.99
2024-01-07,Monitor,1,299.99
2024-01-08,Headphones,2,79.99
2024-01-09,Laptop,1,999.99
2024-01-10,Keyboard,1,39.99
2024-01-11,Mouse,3,19.99
2024-01-12,Monitor,2,289.99
2024-01-13,Headphones,1,89.99
2024-01-14,Laptop,2,1050.00
2024-01-15,Keyboard,2,45.00
2024-01-16,Mouse,1,24.99
2024-01-17,Monitor,1,279.99
2024-01-18,Headphones,2,99.99
2024-01-19,Laptop,1,950.00
2024-01-20,Keyboard,3,40.00
2024-01-21,Mouse,2,22.99
2024-01-22,Monitor,2,295.00
2024-01-23,Headphones,1,85.00
2024-01-24,Laptop,1,1100.00
2024-01-25,Keyboard,2,41.99
2024-01-26,Mouse,1,21.99
2024-01-27,Monitor,1,280.00
2024-01-28,Headphones,2,95.00
2024-01-29,Laptop,1,1025.00
2024-01-30,Keyboard,3,43.50
2024-01-31,Mouse,2,23.99
2024-01-02,Monitor,1,285.00
2024-01-03,Headphones,1,90.00
2024-01-04,Laptop,2,1000.00
2024-01-05,Keyboard,2,42.00
2024-01-06,Mouse,1,20.99
2024-01-07,Monitor,2,290.00
2024-01-08,Headphones,1,88.00
2024-01-09,Laptop,1,980.00
2024-01-10,Keyboard,3,44.00
2024-01-11,Mouse,2,25.00
2024-01-12,Monitor,1,295.00
2024-01-13,Headphones,2,92.00
2024-01-14,Laptop,1,1010.00
2024-01-15,Keyboard,2,40.99
2024-01-16,Mouse,1,22.99
2024-01-17,Monitor,2,288.00
2024-01-18,Headphones,1,87.00
2024-01-19,Laptop,2,990.00
2024-01-20,Keyboard,1,41.00
2024-01-21,Mouse,3,24.99
2024-01-22,Monitor,1,282.00
2024-01-23,Headphones,2,93.00
2024-01-24,Laptop,1,1030.00
2024-01-25,Keyboard,2,43.00
2024-01-26,Mouse,1,21.00
2024-01-27,Monitor,2,297.00
2024-01-28,Headphones,1,86.00
2024-01-29,Laptop,1,1005.00
2024-01-30,Keyboard,3,45.00
2024-01-31,Mouse,2,23.00
2024-01-02,Monitor,1,284.00
2024-01-03,Headphones,2,91.00
2024-01-04,Laptop,1,1020.00
2024-01-05,Keyboard,2,42.50
2024-01-06,Mouse,1,20.50
2024-01-07,Monitor,2,291.00
2024-01-08,Headphones,1,89.00
2024-01-09,Laptop,2,995.00
2024-01-10,Keyboard,1,39.50
2024-01-11,Mouse,3,19.50
2024-01-12,Monitor,1,286.00
2024-01-13,Headphones,2,94.00
2024-01-14,Laptop,1,1040.00
2024-01-15,Keyboard,2,44.00
2024-01-16,Mouse,1,23.00
2024-01-17,Monitor,2,292.00
2024-01-18,Headphones,1,90.00
2024-01-19,Laptop,1,970.00
2024-01-20,Keyboard,3,41.00
2024-01-21,Mouse,2,22.00
2024-01-22,Monitor,1,283.00
2024-01-23,Headphones,2,95.00
2024-01-24,Laptop,2,1015.00
2024-01-25,Keyboard,1,40.00
2024-01-26,Mouse,1,21.50
2024-01-27,Monitor,2,298.00
2024-01-28,Headphones,1,85.00
2024-01-29,Laptop,1,1008.00
2024-01-30,Keyboard,2,43.50
